Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
PCB,,PCB,,m2,m2,0.017,0.05236,"printed wiring board production, for through-hole mounting, Pb free surface",AUTO,Panel of 2,EDA-04977-V1,"Panel of 2, 160x105 mm",1,0.017,YES,170,100,,,,,,3.08,EcoInvent,Input,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",1,1,1,M2_EQUIVALENT,,5.519481,,M2_RELATION,
"HVDC_M, HVDV_P",,Passives,Test PIN,kg,kg,0.00016,0.00016,"electronic component, passive, unspecified",AUTO,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),2,8e-05,YES,,,,,,,,,EcoInvent,Input,Chossen passive generic because it includes thins kind of components and there is not another alternative.,6,1,4,DATASHEET_QTY_KG,,0.08,,MISSING,
L1,,Magnetics,Inductors,kg,KG,0.0827,0.0827,"transformer production, low voltage use",AUTO,CERN,HCRAPQU001-0,HF Common Mode Inductor,1,0.0827,YES,,,,,,,,,EcoInvent,Input,The proportions should be modifiedon row; user will delete,9,1,6,DATASHEET_QTY_KG,,82.7,,MISSING,
R1-R4,,Passives,Resistors,kg,kg,0.00497724,0.00497724,"resistor, metal film type, through-hole mounting",AUTO,Generic,RMF_47K_5%_3W_250PPM_2286-1670X520,±5% 3W ±250ppm/°C Leaded Power Metal Film Resistor,4,0.00124431,NO,,,,0.35466,3,4,0.003,,EcoInvent,Input,,10,1,7,CALCULATED,0.35466,1.24431,3.5,MIN_MAX_AVG,
THT_PROCESS,,Assembly Processes,THT,m2,m2,0.017,,"mounting, through-hole technology, Pb-free solder",AUTO,,,Assambly THT components in the PCB,1,0.017,YES,170,100,,,,,,,EcoInvent,Input,,12,1,8,AREA_LW_MM_TO_M2,,,,,
"C1, C4",,Passives,Capacitors,kg,kg,0.002673,0.002673,"capacitor production, film type, for through-hole mounting",Film,WIMA,MKY22W21004B00MSSD,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",2,0.0013365,NO,18,5,11,,1.3,1.4,0,,EcoInvent,Input,,2,2,2,CALCULATED,0.99,1.3365,1.35,MIN_MAX_AVG,
C3,,Passives,Capacitors,kg,kg,0.04425975,0.04425975,"capacitor production, film type, for through-hole mounting",Film,WIMA,MKP4O141507G00MSSD,±20% 1000VDC/400VAC Metallized Polypropylene Film Capacitor (MKP4),1,0.04425975,NO,20,39.5,41.5,,1.3,1.4,0,,EcoInvent,Input,,3,2,2,CALCULATED,32.785,44.25975,1.35,MIN_MAX_AVG,
C8,,Passives,Capacitors,kg,kg,0.09804375,0.09804375,"capacitor production, film type, for through-hole mounting",Film,WIMA,DCP4L055007JD4KSSD,±10% 800VDC Metallized Polypropylene Capacitor (MKP4) For DC-Link Applications,1,0.09804375,NO,35,41.5,50,,1.3,1.4,0,,EcoInvent,Input,,5,2,2,CALCULATED,72.625,98.04375,1.35,MIN_MAX_AVG,
"C2,C5",,Passives,Capacitors,kg,kg,0.0019305,0.0019305,"capacitor production, film type, for through-hole mounting",Film,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),2,0.00096525,NO,13,5,11,,1.3,1.4,0,,EcoInvent,Input,,11,2,2,CALCULATED,0.715,0.96525,1.35,MIN_MAX_AVG,
"C6, C7, C9, C10",,Passives,Capacitors,kg,kg,0.5615588,0.5615588,"capacitor production, electrolyte type, > 2cm height",Electrolytic,NICHICON,LGR2G221MELA50,±20% 400V Aluminium Electrolytic Capacitor (LGR Serie),4,0.1403897,NO,,,,25.5254,5,6,0,,EcoInvent,Input,,4,3,3,CALCULATED,25.5254,140.3897,5.5,MIN_MAX_AVG,
"J1,J2,J4",,Passives,Electromechanical,kg,kg,0.005949,0.005949,"electric connector production, peripheral type buss",Connectors,TYCO ELECTRONICS,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,3,0.001983,YES,,,,,,,,,EcoInvent,Input,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function For the mass: https://www.tme.com/in/en/details/350789-1/raster-signal-connectors-6-35mm/te-connectivity/,7,4,5,DATASHEET_QTY_KG,,1.983,,MISSING,
J3,,Passives,Electromechanical,kg,kg,0.00137,0.00137,"electric connector production, wire clamp",Connectors,TYCO ELECTRONICS,350786-1,2 Circuits In-Line - Universal MATE-N-LOK Connector,1,0.00137,YES,,,,,,,,,EcoInvent,Input,Mass info: https://www.tme.com/in/en/details/350786-1/raster-signal-connectors-6-35mm/te-connectivity/,8,4,5,DATASHEET_QTY_KG,,1.37,,MISSING,
